Year,Coal,Petroleum,Natural Gas,Bioenergy,Nuclear,"Wind, Solar, Hydro"
1995,32.8,142.7,70.8,1.7,21.3,0.4
1996,31.2,142.1,84.2,1.8,22.2,0.3
1997,30.3,140.4,85.9,1.9,22,0.4
1998,25.8,145.3,90.2,2,23.4,0.5
1999,23.2,150.2,99.1,2.3,22.4,0.5
2000,19.5,138.3,108.4,2.3,19.6,0.5
2001,20,127.8,105.9,2.5,20.8,0.4
2002,18.8,127,103.7,2.8,20.1,0.5
2003,17.6,116.2,103,3,20.1,0.4
2004,15.6,104.5,96.4,3.1,18.2,0.6
2005,12.7,92.9,88.2,3.7,18.4,0.7
2006,11.4,84,80,3.9,17.1,0.8
2007,10.7,83.9,72.2,4.3,14,0.9
2008,11.3,78.7,69.5,5.1,11.9,1.1
2009,11,74.8,58.5,5.4,15.2,1.3
2010,11.4,69,55.3,6.1,13.9,1.2
2011,11.5,56.9,44,6.2,15.6,1.9
2012,10.6,48.8,37.5,7.1,15.2,2.3
2013,8,44.5,35.3,7.7,15.4,3
2014,7.3,43.7,35.8,8.3,13.8,3.6
2015,5.4,49.5,38.8,10.6,15.5,4.7
2016,2.9,52,39.9,11.6,15.4,4.5
2017,2.1,51.1,40,12.5,15.1,5.8
2018,1.8,55.7,38.9,13.5,14.1,6.5
2019,1.5,56.8,37.8,13.7,13.3,7.2
2020,1,52.7,37.7,14.3,11.9,8.2